usuario,usuario_seguidores,modelo,color,calificacion,comentario,fuente,likes,verificado,respondido_marca,fecha,intencion_plantilla
carbajalmaria-luisa,13,Vital,gris,3,"Normales los Vital, ni bien ni mal 🤷‍♂️",tiktok,2,True,True,2022-09-01 06:33:27,neutro
ruben93,76,Vaivén,blanco,5,"Buenos los Vaivén, me gustaron 👍 cumplen lo prometido",amazon,62,True,False,2024-04-05 14:31:43,positivo
sandrajaime,10345,084 Clásico,beige,1,BASURA los 084 Clásico 🤮 me lastimaron los pies horrible 👎 nunca más,tiktok,27,False,True,2025-08-23 13:33:08,negativo
dheredia,1170,084 Diamante,rosa,4,Por fin unos tenis que duran! Los 084 Diamante ya tienen 8 meses y siguen como nuevos 💪,amazon,70,True,True,2022-02-17 01:47:37,positivo
clebron,360,084 Campeón,blanco,5,Excelentísimos los 084 Campeón ✨ los uso para correr y son perfectos 🏃‍♂️💨,facebook,32,False,False,2021-05-17 07:54:25,positivo
gregorio42,698,Panam Alfa,verde,3,"Cumple lo prometido, los Panam Alfa están bien para el uso diario 👍🏼",facebook,32,True,False,2025-02-07 01:09:53,positivo
avalentin,3884,084 Diamante,rosa,5,"Me gustaron los 084 Diamante, cómodos y bonitos para diario 🙂",google_reviews,50,True,True,2022-04-18 21:26:33,positivo
cordovamaria-del-carmen,8,084 Diamante,beige,4,"Buenos los 084 Diamante, me gustaron 👍 cumplen lo prometido",tiktok,49,False,False,2021-08-26 05:58:26,positivo
nancy82,20,RL15,beige,2,"Incomodísimos los RL15, me lastimaron los pies después de 1 hr 😣",twitter,3,True,False,2024-12-31 14:44:30,negativo
benitomanzanares,373,084,gris,1,Horrible calidad los 084 😠 ni para regalar #malacompra #panam,google_reviews,44,True,True,2024-06-12 05:54:31,negativo
munizluis-miguel,3540,Vaivén,rojo,2,Excelente diseño los Vaivén pero algo caros para la calidad real 💸,instagram,30,True,False,2023-06-20 13:48:25,mixto
morenomarisela,12,Perestroika,rosa,1,Terrible experiencia con los Perestroika 💔 mala calidad y peor servicio al cliente 😡,facebook,24,True,False,2024-10-19 21:12:56,negativo
nicolascuriel,260,Caimán,rosa,3,Bonitos los Caimán pero la suela se desgasta rapidísimo 🤔 no sé qué pensar,twitter,3,True,False,2022-11-07 09:30:10,mixto
lalvarado,42,Gran Prix,azul,5,MARAVILLOSOS los Gran Prix 😍 como caminar en nubes ☁️☁️ los amo,twitter,1,True,True,2024-03-03 09:03:53,positivo
rguzman,303,084 Clásico,rosa,2,"Compré los 084 Clásico, son tenis. Punto.",facebook,14,False,False,2022-09-12 22:10:22,neutro
olivasaugusto,37,Ultra,negro,4,"Regulares los Ultra, esperaba un poquito más pero también un poquito menos",google_reviews,24,True,True,2025-05-07 16:42:47,neutro
leonelrincon,661,084 Campeón,rosa,4,"Decentes los 084 Campeón, no son los mejores pero cumplen 🙂",facebook,232,True,False,2024-04-26 15:56:35,positivo
mauro30,503,084 Diamante,azul,5,"Los mejores tenis que he tenido!! Los 084 Diamante son cómodos, bonitos y baratos 👌🔥",twitter,74,False,False,2022-12-27 08:19:20,positivo
rmendez,96,Perestroika,gris,5,MARAVILLOSOS los Perestroika 😍 como caminar en nubes ☁️☁️ los amo,facebook,69,True,False,2021-12-07 23:54:28,positivo
anel86,1336,084,azul,2,Pésima atención y los 084 llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,amazon,116,True,True,2025-11-27 06:39:51,negativo
andres14,580,Gran Prix,azul,2,Horrible calidad los Gran Prix 😠 ni para regalar #malacompra #panam,google_reviews,24,True,True,2022-11-12 02:30:10,negativo
augusto19,79,Caimán,azul,5,Por fin unos tenis que duran! Los Caimán ya tienen 8 meses y siguen como nuevos 💪,twitter,4,False,True,2025-01-15 10:56:37,positivo
zeferino69,180,Perestroika,blanco,5,"Cumple lo prometido, los Perestroika están bien para el uso diario 👍🏼",tiktok,49,False,True,2025-09-11 05:59:19,positivo
olmosmitzy,487,084 Clásico,gris,5,Me encantaron mis 084 Clásico 😍🔥 súper cómodos para todo el día!! #Panam #Calzado,facebook,19,True,False,2022-12-17 20:49:19,positivo
benjamin60,517,Barracuda,azul,1,Muy decepcionada con mis Barracuda 💔 esperaba muchísimo más por el precio que pagué 🙄,twitter,4,False,False,2025-10-07 15:35:32,negativo
asuncionprado,521,084,negro,5,Por fin unos tenis que duran! Los 084 ya tienen 8 meses y siguen como nuevos 💪,facebook,39,False,True,2021-12-09 17:08:47,positivo
rosa51,28,RL15,verde,4,"Decentes los RL15, no son los mejores pero cumplen 🙂",facebook,7,False,True,2023-11-25 09:10:22,positivo
virginia65,78,Urbano,beige,2,Pésima atención y los Urbano llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,facebook,5,True,False,2024-10-07 12:40:08,negativo
maria-luisa23,57,Vital,gris,5,"Decentes los Vital, no son los mejores pero cumplen 🙂",google_reviews,4,False,False,2024-12-02 14:16:20,positivo
ndelgado,236,084 Diamante,gris,3,Buena calidad los 084 Diamante pero la entrega tardó 3 semanas 😑 ojo con eso,tiktok,23,False,True,2026-03-09 11:05:06,mixto
cristal80,35,Perestroika,azul,2,"Los Perestroika cumplen, los uso para diario nomás",google_reviews,22,True,False,2023-12-06 10:04:48,neutro
luis-miguel69,96,084 Diamante,beige,2,PÉSIMOS los 084 Diamante 😡 se descosió la suela en 2 semanas 👎👎 NO COMPREN,tiktok,118,True,False,2024-02-01 12:09:56,negativo
cquintanilla,143,Panam Alfa,verde,4,Mis Panam Alfa son LO MEJOR que he comprado en años 😍 calidad/precio insuperable ⭐⭐⭐⭐⭐,google_reviews,2,False,False,2023-03-01 06:15:10,positivo
qde-la-o,83,084 Campeón,azul,4,Me encantaron mis 084 Campeón 😍🔥 súper cómodos para todo el día!! #Panam #Calzado,amazon,52,True,False,2022-01-24 18:20:05,positivo
laura95,119,Vaivén,beige,2,Horrible calidad los Vaivén 😠 ni para regalar #malacompra #panam,facebook,16,True,True,2022-02-20 10:58:31,negativo
yolandamarin,331,084 Clásico,azul,3,"Compré los 084 Clásico, son tenis. Punto.",tiktok,49,True,False,2023-04-04 05:56:36,neutro
ignacioalvarado,232,SuperFaro,verde,5,"Buenos los SuperFaro, me gustaron 👍 cumplen lo prometido",amazon,3,True,False,2021-09-26 21:27:58,positivo
guillerminabeltran,152,SuperFaro,gris,1,Terrible experiencia con los SuperFaro 💔 mala calidad y peor servicio al cliente 😡,tiktok,37,True,True,2025-03-21 05:48:43,negativo
mvelasquez,11007,Vital,rojo,1,Muy decepcionada con mis Vital 💔 esperaba muchísimo más por el precio que pagué 🙄,amazon,43,True,False,2024-08-11 07:01:52,negativo
ppabon,31,084,gris,4,"Regulares los 084, esperaba un poquito más pero también un poquito menos",tiktok,4,True,False,2022-08-07 19:14:17,neutro
carbajaldulce-maria,11844,Caimán,negro,2,Cómodos los Caimán pero el color destiñe en 2 lavadas 😕 mitad y mitad,tiktok,16,True,False,2023-03-17 05:29:57,mixto
leticiarivera,29,Panam Alfa,gris,5,Bonitos los Panam Alfa 👌 buen precio para la calidad,tiktok,21,True,False,2021-10-09 08:04:31,positivo
germanreyes,293,084,negro,2,Muy decepcionada con mis 084 💔 esperaba muchísimo más por el precio que pagué 🙄,facebook,18,True,False,2022-06-24 14:00:19,negativo
jtamez,6325,Vital,gris,4,"Los Vital están ok, nada del otro mundo 🤷",facebook,2,True,True,2024-01-17 02:58:18,neutro
bsantana,10,Gran Prix,blanco,3,"Los Gran Prix cumplen, los uso para diario nomás",amazon,40,True,True,2026-01-02 11:48:54,neutro
vcovarrubias,5784,084,gris,3,"Regulares los 084, esperaba un poquito más pero también un poquito menos",tiktok,0,True,False,2025-05-20 01:48:45,neutro
whuerta,4,Flip,azul,5,"Cumple lo prometido, los Flip están bien para el uso diario 👍🏼",facebook,175,True,False,2023-06-13 11:03:08,positivo
lilia73,2225,Gran Prix,rosa,3,"Regulares los Gran Prix, esperaba un poquito más pero también un poquito menos",google_reviews,9,True,False,2023-09-06 10:59:27,neutro
tbernal,149,084 Clásico,azul,5,Por fin unos tenis que duran! Los 084 Clásico ya tienen 8 meses y siguen como nuevos 💪,twitter,73,False,True,2023-10-11 00:57:24,positivo
ricardomeza,163,Gran Prix,blanco,3,Me gustaron los Gran Prix aunque son un poco apretados al principio 😬 ya cedieron,facebook,14,True,False,2024-01-24 14:47:39,mixto
chavarriaisrael,188,084 Campeón,negro,4,"AMO mis 084 Campeón 💖 ya pedí otro par en otro color, hermosos",amazon,12,True,False,2023-04-24 19:37:38,positivo
tcorral,415,Urbano,azul,3,Muy decepcionada con mis Urbano 💔 esperaba muchísimo más por el precio que pagué 🙄,amazon,22,True,False,2023-03-02 01:00:15,negativo
pedrozacristina,3302,Vital,rosa,4,"Súper recomendados los Vital, no me los quería quitar 😂❤️",tiktok,36,True,False,2024-02-28 07:49:33,positivo
dpelayo,187,Vaivén,blanco,3,"Normales los Vaivén, ni bien ni mal 🤷‍♂️",twitter,12,True,False,2023-02-07 22:12:40,neutro
xordonez,539,084 Diamante,beige,3,"Compré los 084 Diamante, son tenis. Punto.",amazon,18,True,False,2026-04-24 23:38:20,neutro
velasquezcaridad,2292,084 Campeón,beige,5,Mis 084 Campeón son LO MEJOR que he comprado en años 😍 calidad/precio insuperable ⭐⭐⭐⭐⭐,google_reviews,0,True,False,2025-05-27 05:42:29,positivo
morateodoro,13,Vaivén,gris,4,"Los mejores tenis que he tenido!! Los Vaivén son cómodos, bonitos y baratos 👌🔥",tiktok,117,False,False,2024-08-29 23:02:00,positivo
vtijerina,2,Panam Alfa,negro,3,"Muy cómodos los Panam Alfa, me los recomendó mi hermana ✌️ buena compra",amazon,76,False,False,2025-12-28 02:05:51,positivo
inesgaona,4,Urbano,beige,5,Mejor compra del año!! Los Urbano son una BELLEZA 🔥🔥🔥 #PanamForever,facebook,30,False,True,2023-09-01 07:03:12,positivo
bruelas,132,Panam Alfa,rosa,2,Buena calidad los Panam Alfa pero la entrega tardó 3 semanas 😑 ojo con eso,facebook,19,False,False,2024-08-26 10:48:57,mixto
wendolin62,308,084 Clásico,verde,1,BASURA los 084 Clásico 🤮 me lastimaron los pies horrible 👎 nunca más,instagram,10,False,False,2025-04-27 10:39:24,negativo
rociotejeda,22,Caimán,gris,5,"Buenos los Caimán, me gustaron 👍 cumplen lo prometido",facebook,32,False,False,2021-07-29 02:17:08,positivo
kvillarreal,51,084 Campeón,blanco,1,Terrible experiencia con los 084 Campeón 💔 mala calidad y peor servicio al cliente 😡,twitter,9,True,False,2021-07-29 12:23:48,negativo
porrashector,30,084 Campeón,negro,5,"Me gustaron los 084 Campeón, cómodos y bonitos para diario 🙂",google_reviews,30,True,True,2025-04-09 18:15:10,positivo
brunohurtado,7551,084 Diamante,verde,5,"Me gustaron los 084 Diamante, cómodos y bonitos para diario 🙂",facebook,2,True,False,2024-07-27 03:33:16,positivo
manuel75,159,Urbano,gris,1,Horrible calidad los Urbano 😠 ni para regalar #malacompra #panam,twitter,4,True,False,2024-03-19 21:23:10,negativo
wledesma,118,Caimán,negro,4,"Los Caimán están ok, nada del otro mundo 🤷",google_reviews,24,False,False,2024-12-06 01:40:24,neutro
emiliano70,95,084 Campeón,negro,2,NO LOS COMPREN!! Mis 084 Campeón se despegaron en una semana 😤 estafa total,instagram,11,True,False,2025-12-07 05:31:16,negativo
montezmateo,7,Panam Alfa,beige,5,Por fin unos tenis que duran! Los Panam Alfa ya tienen 8 meses y siguen como nuevos 💪,amazon,31,False,False,2021-12-05 12:04:40,positivo
angulooswaldo,2284,084,gris,1,Me quedaron grandes los 084 y la talla era la correcta 😒 mala medición,twitter,14,True,False,2023-01-15 16:55:52,negativo
corraloctavio,70105,Caimán,azul,1,Terrible experiencia con los Caimán 💔 mala calidad y peor servicio al cliente 😡,tiktok,5,True,False,2022-06-02 11:14:22,negativo
kcarrero,1392,Vaivén,rojo,5,"Me gustaron los Vaivén, cómodos y bonitos para diario 🙂",twitter,13,False,False,2023-03-14 12:08:08,positivo
xhidalgo,40,084 Diamante,gris,5,"Los mejores tenis que he tenido!! Los 084 Diamante son cómodos, bonitos y baratos 👌🔥",twitter,6,False,False,2024-06-25 10:20:21,positivo
paolazepeda,17,Urbano,beige,4,"Regulares los Urbano, esperaba un poquito más pero también un poquito menos",facebook,17,True,False,2022-04-27 03:42:39,neutro
zacariascardenas,173,Panam Alfa,rosa,1,Decepción total los Panam Alfa 😞 se ven baratos y se rompen aún más rápido 👎,twitter,44,False,False,2026-04-08 05:22:58,negativo
marreromiriam,26,084 Diamante,rosa,1,Horrible calidad los 084 Diamante 😠 ni para regalar #malacompra #panam,facebook,6,True,False,2024-07-15 08:26:11,negativo
efarias,946,084 Diamante,rosa,3,"10/10 los 084 Diamante ⭐⭐⭐⭐⭐ excelente atención y producto, llegaron rapidísimo",amazon,22,False,False,2023-05-30 19:41:02,positivo
maderaolga,6760,Urbano,rojo,3,Bonitos los Urbano pero la suela se desgasta rapidísimo 🤔 no sé qué pensar,google_reviews,13,True,True,2022-05-17 10:02:27,mixto
montenegroluisa,40,084 Campeón,blanco,5,Increíbles!! Los 084 Campeón se ven y se sienten premium 🔝🔥 vale cada peso,facebook,10,True,True,2024-12-27 05:42:03,positivo
dario85,56,084 Campeón,rojo,4,"Decentes los 084 Campeón, no son los mejores pero cumplen 🙂",twitter,113,True,False,2021-06-14 14:56:01,positivo
gsaiz,254,Vaivén,blanco,5,"Decentes los Vaivén, no son los mejores pero cumplen 🙂",amazon,5,False,False,2025-01-12 05:22:08,positivo
sara72,134,SuperFaro,beige,5,"Los mejores tenis que he tenido!! Los SuperFaro son cómodos, bonitos y baratos 👌🔥",instagram,100,True,False,2025-01-18 07:47:47,positivo
lilianajiminez,404,084 Clásico,azul,2,"Compré los 084 Clásico, son tenis. Punto.",facebook,39,False,False,2025-12-03 08:36:06,neutro
brivero,21,Vaivén,blanco,1,Me quedaron grandes los Vaivén y la talla era la correcta 😒 mala medición,amazon,16,True,True,2023-08-18 04:32:36,negativo
oscar14,32,084 Campeón,negro,1,Pésima atención y los 084 Campeón llegaron rotos 😠😠 jamás vuelvo a comprar nada de Panam,twitter,35,True,False,2025-03-06 21:45:17,negativo
fridavargas,4,084 Campeón,rojo,4,MARAVILLOSOS los 084 Campeón 😍 como caminar en nubes ☁️☁️ los amo,instagram,47,True,False,2024-07-26 19:00:43,positivo
andres75,130,Vaivén,beige,5,Excelentísimos los Vaivén ✨ los uso para correr y son perfectos 🏃‍♂️💨,tiktok,38,True,False,2022-11-22 06:29:01,positivo
wgalindo,13,084 Diamante,gris,5,Increíbles!! Los 084 Diamante se ven y se sienten premium 🔝🔥 vale cada peso,facebook,7,False,False,2023-07-17 23:40:24,positivo
rolando94,1110,SuperFaro,blanco,5,Mejor compra del año!! Los SuperFaro son una BELLEZA 🔥🔥🔥 #PanamForever,twitter,14,False,False,2026-01-27 02:18:15,positivo
sierrajuan,46,Barracuda,gris,1,BASURA los Barracuda 🤮 me lastimaron los pies horrible 👎 nunca más,twitter,45,True,False,2022-01-27 07:17:11,negativo
